"x","y","z","cellNum","majorBoard","minorBoard","minBoardWon"
13,12,3,62,9,2,FALSE
14,12,3,63,9,3,FALSE
15,12,-1,NA,9,NA,FALSE
1,13,-1,NA,7,NA,FALSE
2,13,3,64,7,4,FALSE
3,13,3,65,7,5,FALSE
4,13,3,66,7,6,FALSE
5,13,-1,NA,7,NA,FALSE
6,13,-1,NA,8,NA,FALSE
7,13,3,67,8,4,FALSE
8,13,3,68,8,5,FALSE
9,13,3,69,8,6,FALSE
10,13,-1,NA,8,NA,FALSE
11,13,-1,NA,9,NA,FALSE
12,13,3,70,9,4,FALSE
13,13,3,71,9,5,FALSE
14,13,3,72,9,6,FALSE
15,13,-1,NA,9,NA,FALSE
1,14,-1,NA,7,NA,FALSE
2,14,3,73,7,7,FALSE
3,14,3,74,7,8,FALSE
4,14,3,75,7,9,FALSE
5,14,-1,NA,7,NA,FALSE
6,14,-1,NA,8,NA,FALSE
7,14,3,76,8,7,FALSE
8,14,3,77,8,8,FALSE
9,14,3,78,8,9,FALSE
10,14,-1,NA,8,NA,FALSE
11,14,-1,NA,9,NA,FALSE
12,14,3,79,9,7,FALSE
13,14,3,80,9,8,FALSE
14,14,3,81,9,9,FALSE
15,14,-1,NA,9,NA,FALSE
1,15,-1,NA,7,NA,FALSE
2,15,-1,NA,7,NA,FALSE
3,15,-1,NA,7,NA,FALSE
4,15,-1,NA,7,NA,FALSE
5,15,-1,NA,7,NA,FALSE
6,15,-1,NA,8,NA,FALSE
7,15,-1,NA,8,NA,FALSE
8,15,-1,NA,8,NA,FALSE
9,15,-1,NA,8,NA,FALSE
10,15,-1,NA,8,NA,FALSE
11,15,-1,NA,9,NA,FALSE
12,15,-1,NA,9,NA,FALSE
13,15,-1,NA,9,NA,FALSE
14,15,-1,NA,9,NA,FALSE
15,15,-1,NA,9,NA,FALSE
